feature,importance
macd_dea,294
f_neg_day_freq_v1_chg5,283
f_neg_day_freq_v1_chg20,256
ret_std_60d,225
ret_kurt_60d,215
macd_hist,214
f_amp_level_v2_lag20,191
ret_skew_60d,184
boll_width,178
macd_dif,177
f_amp_level_v2_chg20,166
ret_mean_60d,163
f_neg_day_freq_v1,163
f_tae_v1_lag20,163
pv_corr_20,159
turnover_mean_60d,153
ret_kurt_20d,146
f_amihud_illiq_v2_lag20,143
bias_60,142
turnover_mean_20d,141
f_tae_v1_lag5,136
ret_skew_20d,136
amount_mean_60d,130
f_amp_level_v2_lag5,129
f_amp_level_v2_rank,126
ret_std_20d,121
f_overnight_momentum_v1_lag20,116
f_gap_momentum_v1_lag20,114
f_shadow_pressure_v1_lag20,113
f_tae_v1_rank,113
f_neg_day_freq_v1_lag5,113
ret_mean_20d,112
inter_f_amihud_illiq_v2xf_shadow_pressure_v1_diff,111
turnover_mean_10d,110
f_neg_day_freq_v1_lag20,110
amount_mean_10d,109
f_tail_risk_cvar_v1,104
f_amp_level_v2_chg5,104
inter_f_amihud_illiq_v2xf_gap_momentum_v1_prod,103
f_shadow_pressure_v1_lag5,103
f_tail_risk_cvar_v1_lag20,101
f_amihud_illiq_v2_lag5,101
f_amihud_illiq_v2_chg20,100
inter_f_amihud_illiq_v2xf_gap_momentum_v1_diff,99
ret_std_10d,99
bias_20,95
inter_f_shadow_pressure_v1xf_overnight_momentum_v1_prod,94
f_tail_risk_cvar_v1_lag5,93
f_tae_v1,92
f_amp_level_v2,91
inter_f_amihud_illiq_v2xf_overnight_momentum_v1_prod,90
boll_pct,90
bias_10,89
turnover_mean_5d,88
f_overnight_momentum_v1_lag5,88
inter_f_amihud_illiq_v2xf_shadow_pressure_v1_prod,87
bias_5,86
amount_mean_20d,86
inter_f_shadow_pressure_v1xf_overnight_momentum_v1_diff,85
ret_mean_5d,84
f_amihud_illiq_v2_chg5,82
f_tae_v1_chg20,81
amount_mean_5d,81
turnover,80
price_position_20,80
ret_std_5d,77
ret_mean_10d,77
ret_1d,76
f_neg_day_freq_v1_rank,75
f_amihud_illiq_v2,75
log_amount,75
rsi_14,70
inter_f_amihud_illiq_v2xf_overnight_momentum_v1_diff,69
f_overnight_momentum_v1_rank,68
inter_f_shadow_pressure_v1xf_gap_momentum_v1_prod,65
inter_f_overnight_momentum_v1xf_gap_momentum_v1_prod,64
f_tae_v1_chg5,61
f_gap_momentum_v1_lag5,59
inter_f_overnight_momentum_v1xf_gap_momentum_v1_diff,59
f_overnight_momentum_v1,58
f_gap_momentum_v1_chg20,56
f_tail_risk_cvar_v1_rank,56
inter_f_shadow_pressure_v1xf_gap_momentum_v1_diff,56
f_shadow_pressure_v1_rank,56
f_amihud_illiq_v2_rank,55
f_gap_momentum_v1,53
amplitude,52
f_overnight_momentum_v1_chg20,50
f_tail_risk_cvar_v1_chg20,48
f_gap_momentum_v1_rank,46
f_overnight_momentum_v1_chg5,45
f_tail_risk_cvar_v1_chg5,45
f_shadow_pressure_v1,44
f_shadow_pressure_v1_chg20,44
vol_ratio,43
f_shadow_pressure_v1_chg5,41
f_gap_momentum_v1_chg5,39
