stock_code,report_date,bps,roe,name
2036,2022-06-30,3.657806143131,2.71,联创电子
2038,2022-06-30,5.232566353657,3.06,双鹭药业
2041,2022-06-30,3.604017935557,3.56,登海种业
2043,2022-06-30,2.755398665681,13.25,兔宝宝
2045,2022-06-30,4.394289644572,3.09,国光电器
2046,2022-06-30,5.610882539701,4.62,国机精工
2048,2022-06-30,12.95008431238,2.93,宁波华翔
2051,2022-06-30,8.768291131843,2.29,中工国际
2053,2022-06-30,6.012301785659,3.93,云南能投
2060,2022-06-30,3.081001286161,7.16,广东建工
2061,2022-06-30,6.6778267346,6.68,浙江交科
2063,2022-06-30,2.187698582498,2.97,远光软件
2068,2022-06-30,4.462944846455,2.25,黑猫股份
2073,2022-06-30,4.763073279598,1.08,软控股份
2075,2022-06-30,2.862393787082,5.8,沙钢股份
2077,2022-06-30,5.466956158153,1.41,大港股份
2079,2022-06-30,3.034711941855,5.74,苏州固锝
2081,2022-06-30,4.492465210002,7.5,金螳螂
2091,2022-06-30,6.850369518342,8.36,江苏国泰
2093,2022-06-30,3.496659692,0.96,国脉科技
2096,2022-06-30,5.02858718017,13.74,易普力
2097,2022-06-30,5.193137722248,0.61,山河智能
2099,2022-06-30,3.806943590622,2.77,海翔药业
2100,2022-06-30,5.185566901886,-1.37,天康生物
2101,2022-06-30,9.265915048797,4.53,广东鸿图
2104,2022-06-30,2.709758936379,1.84,恒宝股份
2110,2022-06-30,8.827803768773,1.95,三钢闽光
2123,2022-06-30,5.253822147505,0.11,梦网科技
2125,2022-06-30,3.603567320613,14.21,湘潭电化
2127,2022-06-30,1.976394928629,3.55,南极电商
2139,2022-06-30,4.158609189189,4.77,拓邦股份
2145,2022-06-30,2.293587598547,9.33,钛能化学
2149,2022-06-30,5.620447437778,3.48,西部材料
2151,2022-06-30,8.242678111203,1.99,北斗星通
2158,2022-06-30,4.960355955728,9.1,汉钟精机
2163,2022-06-30,1.694113392556,-6.56,海南发展
2170,2022-06-30,2.40121827524,3.56,芭田股份
2171,2022-06-30,4.63572300639,4.45,楚江新材
2174,2022-06-30,5.494498653062,1.38,游族网络
2176,2022-06-30,1.912088499493,51.69,江特电机
2182,2022-06-30,5.91902365502,13.89,宝武镁业
2183,2022-06-30,3.367679411793,1.56,怡亚通
2192,2022-06-30,4.71361032026,61.66,融捷股份
2194,2022-06-30,3.812973674051,7.7,武汉凡谷
2204,2022-06-30,3.45425478489,2.49,大连重工
2212,2022-06-30,7.955227629724,-2.2,天融信
2215,2022-06-30,3.237805815768,9.9,诺普信
2216,2022-06-30,3.977841749752,12.6,三全食品
2219,2022-06-30,0.491229070406,3.19,新里程
2221,2022-06-30,6.476222673659,1.34,东华能源
2222,2022-06-30,2.981425640047,9.3,福晶科技
2226,2022-06-30,3.394723408236,6.37,江南化工
2233,2022-06-30,9.442466599065,1.5,塔牌集团
2237,2022-06-30,6.999057234047,3.34,恒邦股份
2239,2022-06-30,1.659789765569,-0.5,奥特佳
2242,2022-06-30,4.813720557471,8.32,九阳股份
2243,2022-06-30,5.338611427324,1.78,力合科创
2245,2022-06-30,5.479349646081,9.44,蔚蓝锂芯
2249,2022-06-30,3.557813596362,3.94,大洋电机
2251,2022-06-30,8.439144593853,0.3,步步高
2254,2022-06-30,5.712453471828,7.19,泰和新材
2258,2022-06-30,7.605326592607,19.3,利尔化学
2267,2022-06-30,6.01070567474,9.24,陕天然气
2268,2022-06-30,5.913772360683,0.2876,电科网安
2270,2022-06-30,3.819166891583,5.85,华明装备
2275,2022-06-30,4.885287295798,10.28,桂林三金
2276,2022-06-30,4.441256239252,4.08,万马股份
2287,2022-06-30,5.56634320519,7.18,奇正藏药
2292,2022-06-30,2.220355265678,-0.82,奥飞娱乐
2302,2022-06-30,6.968777888541,4.04,西部建设
2315,2022-06-30,6.59570291467,6.8,焦点科技
2317,2022-06-30,4.385964314432,5.66,众生药业
2320,2022-06-30,1.78042241792,3.64,海峡股份
2324,2022-06-30,2.585342785605,1.77,普利特
2326,2022-06-30,4.485334758006,13.16,永太科技
2332,2022-06-30,5.043525182386,6.71,仙琚制药
2338,2022-06-30,4.122548806333,3.73,奥普光电
2345,2022-06-30,3.93708923133,4.21,潮宏基
2351,2022-06-30,2.424362546611,4.71,漫步者
2354,2022-06-30,1.582257699386,-0.6,天娱数科
2364,2022-06-30,4.05655217576,0.36,中恒电气
2368,2022-06-30,6.12810436058,0.99,太极股份
2373,2022-06-30,7.829658938666,-0.75,千方科技
2378,2022-06-30,2.087471700745,7.27,章源钨业
2389,2022-06-30,7.774856243685,0.93,航天彩虹
2390,2022-06-30,3.286444671799,1.97,信邦制药
2396,2022-06-30,8.517581833326,6.43,星网锐捷
2399,2022-06-30,8.201569627941,4.35,海普瑞
2400,2022-06-30,2.68367210054,1.95,省广集团
2405,2022-06-30,5.204160245579,-0.29,四维图新
2408,2022-06-30,4.783632185445,6.8,齐翔腾达
2416,2022-06-30,4.531476413856,6.82,爱施德
2421,2022-06-30,1.359548177869,3.47,达实智能
2428,2022-06-30,2.270079166524,0.83,云南锗业
2434,2022-06-30,4.15855656171,3.02,万里扬
2456,2022-06-30,2.328826862229,-10.9,欧菲光
2458,2022-06-30,2.819825803443,-12.4,益生股份
2468,2022-06-30,5.249386912842,2.38,申通快递
2484,2022-06-30,5.366437160284,6.72,江海股份
2487,2022-06-30,5.694727512296,5.66,大金重工
2488,2022-06-30,4.801554256198,20.98,金固股份
2489,2022-06-30,1.654459722833,7.78,浙江永强
2497,2022-06-30,7.685510531958,29.86,雅化集团
2498,2022-06-30,1.991712166863,7.68,汉缆股份
2506,2022-06-30,0.391327475311,1.58,协鑫集成
2507,2022-06-30,8.306002173043,7.0,涪陵榨菜
2511,2022-06-30,3.833604053384,4.53,中顺洁柔
2516,2022-06-30,2.345849778426,2.95,旷达科技
2518,2022-06-30,5.382107229626,6.93,科士达
