feature,importance
f_neg_day_freq_v1_chg5,473
f_neg_day_freq_v1_chg20,390
ret_std_60d,361
macd_dea,310
macd_hist,276
ret_kurt_60d,250
f_tae_v1_lag20,242
f_neg_day_freq_v1,234
boll_width,233
ret_skew_60d,229
turnover_mean_60d,225
pv_corr_20,207
macd_dif,204
ret_kurt_20d,196
ret_mean_60d,191
ret_std_20d,178
amount_mean_60d,174
inter_f_amihud_illiq_v2xf_gap_momentum_v1_prod,171
f_amihud_illiq_v2_lag20,167
bias_60,163
amount_mean_5d,161
f_tail_risk_cvar_v1,158
f_shadow_pressure_v1_lag20,157
f_tae_v1_lag5,154
f_tae_v1,150
ret_skew_20d,149
ret_1d,146
turnover_mean_20d,144
f_tae_v1_rank,144
f_neg_day_freq_v1_lag5,138
turnover_mean_10d,136
amount_mean_20d,131
amount_mean_10d,131
f_overnight_momentum_v1_lag20,130
f_tail_risk_cvar_v1_lag20,128
turnover,127
f_neg_day_freq_v1_lag20,122
f_tail_risk_cvar_v1_lag5,121
f_amihud_illiq_v2_chg20,121
bias_20,121
boll_pct,118
log_amount,117
ret_mean_20d,117
f_tae_v1_chg20,117
inter_f_shadow_pressure_v1xf_overnight_momentum_v1_prod,116
f_gap_momentum_v1_lag20,116
inter_f_amihud_illiq_v2xf_shadow_pressure_v1_prod,115
price_position_20,113
bias_5,113
inter_f_amihud_illiq_v2xf_shadow_pressure_v1_diff,112
ret_std_10d,103
f_neg_day_freq_v1_rank,102
inter_f_amihud_illiq_v2xf_gap_momentum_v1_diff,100
turnover_mean_5d,97
rsi_14,95
f_gap_momentum_v1_lag5,94
f_amihud_illiq_v2_chg5,90
inter_f_shadow_pressure_v1xf_overnight_momentum_v1_diff,90
bias_10,88
ret_std_5d,87
f_shadow_pressure_v1_lag5,86
ret_mean_10d,85
f_overnight_momentum_v1_lag5,84
inter_f_amihud_illiq_v2xf_overnight_momentum_v1_diff,84
f_amihud_illiq_v2_rank,80
f_amihud_illiq_v2_lag5,79
f_tae_v1_chg5,78
ret_mean_5d,77
f_amihud_illiq_v2,75
amplitude,75
f_overnight_momentum_v1_rank,72
f_overnight_momentum_v1,68
inter_f_shadow_pressure_v1xf_gap_momentum_v1_prod,67
inter_f_shadow_pressure_v1xf_gap_momentum_v1_diff,66
f_tail_risk_cvar_v1_rank,65
f_overnight_momentum_v1_chg20,63
f_tail_risk_cvar_v1_chg5,59
f_shadow_pressure_v1_rank,59
inter_f_amihud_illiq_v2xf_overnight_momentum_v1_prod,56
inter_f_overnight_momentum_v1xf_gap_momentum_v1_diff,55
f_gap_momentum_v1,50
inter_f_overnight_momentum_v1xf_gap_momentum_v1_prod,50
f_tail_risk_cvar_v1_chg20,49
vol_ratio,47
f_gap_momentum_v1_rank,47
f_gap_momentum_v1_chg20,42
f_shadow_pressure_v1_chg5,40
f_shadow_pressure_v1,38
f_shadow_pressure_v1_chg20,38
f_overnight_momentum_v1_chg5,37
f_gap_momentum_v1_chg5,36
